Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
2010-02-05,1967220.53,31.53,2.666,0.0,0.0,0.0,0.0,0.0,126.4420645,8.316,0
2010-02-12,2030933.46,33.16,2.671,0.0,0.0,0.0,0.0,0.0,126.4962581,8.316,1
2010-02-19,1970274.64,35.7,2.654,0.0,0.0,0.0,0.0,0.0,126.5262857,8.316,0
2010-02-26,1817850.32,29.98,2.667,0.0,0.0,0.0,0.0,0.0,126.5522857,8.316,0
2010-03-05,1939980.43,40.65,2.681,0.0,0.0,0.0,0.0,0.0,126.5782857,8.316,0
2010-03-12,1840686.94,37.62,2.733,0.0,0.0,0.0,0.0,0.0,126.6042857,8.316,0
2010-03-19,1879794.89,42.49,2.782,0.0,0.0,0.0,0.0,0.0,126.6066452,8.316,0
2010-03-26,1882095.98,41.48,2.819,0.0,0.0,0.0,0.0,0.0,126.6050645,8.316,0
2010-04-02,2142482.14,42.15,2.842,0.0,0.0,0.0,0.0,0.0,126.6034839,8.107,0
2010-04-09,1898335.89,38.97,2.877,0.0,0.0,0.0,0.0,0.0,126.6019032,8.107,0
2010-04-16,1819660.44,50.39,2.915,0.0,0.0,0.0,0.0,0.0,126.5621,8.107,0
2010-04-23,1909330.77,55.66,2.936,0.0,0.0,0.0,0.0,0.0,126.4713333,8.107,0
2010-04-30,1785825.48,48.33,2.941,0.0,0.0,0.0,0.0,0.0,126.3805667,8.107,0
2010-05-07,2005482.21,44.42,2.948,0.0,0.0,0.0,0.0,0.0,126.2898,8.107,0
2010-05-14,1890273.44,50.15,2.962,0.0,0.0,0.0,0.0,0.0,126.2085484,8.107,0
2010-05-21,1853661.6,57.71,2.95,0.0,0.0,0.0,0.0,0.0,126.1843871,8.107,0
2010-05-28,1877358.86,53.11,2.908,0.0,0.0,0.0,0.0,0.0,126.1602258,8.107,0
2010-06-04,2022705.22,59.85,2.871,0.0,0.0,0.0,0.0,0.0,126.1360645,8.107,0
2010-06-11,2037885.3399999999,65.24,2.841,0.0,0.0,0.0,0.0,0.0,126.1119032,8.107,0
2010-06-18,2003435.31,58.41,2.819,0.0,0.0,0.0,0.0,0.0,126.114,8.107,0
2010-06-25,1970393.77,71.83,2.82,0.0,0.0,0.0,0.0,0.0,126.1266,8.107,0
2010-07-02,2018314.71,78.82,2.814,0.0,0.0,0.0,0.0,0.0,126.1392,7.951,0
2010-07-09,1870843.9,71.33,2.802,0.0,0.0,0.0,0.0,0.0,126.1518,7.951,0
2010-07-16,1932235.05,77.79,2.791,0.0,0.0,0.0,0.0,0.0,126.1498065,7.951,0
2010-07-23,1907351.2,82.27,2.797,0.0,0.0,0.0,0.0,0.0,126.1283548,7.951,0
2010-07-30,1817887.23,78.94,2.797,0.0,0.0,0.0,0.0,0.0,126.1069032,7.951,0
2010-08-06,1969121.45,81.24,2.802,0.0,0.0,0.0,0.0,0.0,126.0854516,7.951,0
2010-08-13,1877592.55,74.93,2.837,0.0,0.0,0.0,0.0,0.0,126.064,7.951,0
2010-08-20,1997397.6300000001,76.34,2.85,0.0,0.0,0.0,0.0,0.0,126.0766452,7.951,0
2010-08-27,1908278.27,75.31,2.854,0.0,0.0,0.0,0.0,0.0,126.0892903,7.951,0
2010-09-03,1911852.58,65.71,2.868,0.0,0.0,0.0,0.0,0.0,126.1019355,7.951,0
2010-09-10,1772143.94,65.74,2.87,0.0,0.0,0.0,0.0,0.0,126.1145806,7.951,1
2010-09-17,1790279.74,66.84,2.875,0.0,0.0,0.0,0.0,0.0,126.1454667,7.951,0
2010-09-24,1705655.09,68.22,2.872,0.0,0.0,0.0,0.0,0.0,126.1900333,7.951,0
2010-10-01,1765595.56,68.74,2.853,0.0,0.0,0.0,0.0,0.0,126.2346,7.795,0
2010-10-08,1871924.07,63.03,2.841,0.0,0.0,0.0,0.0,0.0,126.2791667,7.795,0
2010-10-15,1851431.06,54.12,2.845,0.0,0.0,0.0,0.0,0.0,126.3266774,7.795,0
2010-10-22,1796949.59,56.89,2.849,0.0,0.0,0.0,0.0,0.0,126.3815484,7.795,0
2010-10-29,1887895.07,45.12,2.841,0.0,0.0,0.0,0.0,0.0,126.4364194,7.795,0
2010-11-05,1854967.66,49.96,2.831,0.0,0.0,0.0,0.0,0.0,126.4912903,7.795,0
2010-11-12,1939964.6300000001,42.55,2.831,0.0,0.0,0.0,0.0,0.0,126.5461613,7.795,0
2010-11-19,1925393.91,42.0,2.842,0.0,0.0,0.0,0.0,0.0,126.6072,7.795,0
2010-11-26,2766400.05,28.22,2.83,0.0,0.0,0.0,0.0,0.0,126.6692667,7.795,1
2010-12-03,2083379.8900000001,25.8,2.812,0.0,0.0,0.0,0.0,0.0,126.7313333,7.795,0
2010-12-10,2461468.35,36.78,2.817,0.0,0.0,0.0,0.0,0.0,126.7934,7.795,0
2010-12-17,2771646.81,35.21,2.842,0.0,0.0,0.0,0.0,0.0,126.8794839,7.795,0
2010-12-24,3595903.2,34.9,2.846,0.0,0.0,0.0,0.0,0.0,126.9835806,7.795,0
2010-12-31,1675292.0,26.79,2.868,0.0,0.0,0.0,0.0,0.0,127.0876774,7.795,1
2011-01-07,1744544.39,16.94,2.891,0.0,0.0,0.0,0.0,0.0,127.1917742,7.47,0
2011-01-14,1682338.15,20.6,2.903,0.0,0.0,0.0,0.0,0.0,127.3009355,7.47,0
2011-01-21,1770177.37,34.8,2.934,0.0,0.0,0.0,0.0,0.0,127.4404839,7.47,0
2011-01-28,1633663.12,31.64,2.96,0.0,0.0,0.0,0.0,0.0,127.5800323,7.47,0
2011-02-04,1848186.58,23.35,2.974,0.0,0.0,0.0,0.0,0.0,127.7195806,7.47,0
2011-02-11,1944438.9,30.83,3.034,0.0,0.0,0.0,0.0,0.0,127.859129,7.47,1
2011-02-18,2003480.59,40.85,3.062,0.0,0.0,0.0,0.0,0.0,127.99525,7.47,0
2011-02-25,1831933.95,33.17,3.12,0.0,0.0,0.0,0.0,0.0,128.13,7.47,0
2011-03-04,1894960.68,34.23,3.23,0.0,0.0,0.0,0.0,0.0,128.26475,7.47,0
2011-03-11,1852432.58,41.28,3.346,0.0,0.0,0.0,0.0,0.0,128.3995,7.47,0
2011-03-18,1852443.78,44.69,3.407,0.0,0.0,0.0,0.0,0.0,128.5121935,7.47,0
2011-03-25,1807545.43,42.38,3.435,0.0,0.0,0.0,0.0,0.0,128.6160645,7.47,0
2011-04-01,1864238.64,42.49,3.487,0.0,0.0,0.0,0.0,0.0,128.7199355,7.193,0
2011-04-08,1887465.04,42.75,3.547,0.0,0.0,0.0,0.0,0.0,128.8238065,7.193,0
2011-04-15,1950994.04,41.72,3.616,0.0,0.0,0.0,0.0,0.0,128.9107333,7.193,0
2011-04-22,2124316.34,47.55,3.655,0.0,0.0,0.0,0.0,0.0,128.9553,7.193,0
2011-04-29,1895583.12,43.85,3.683,0.0,0.0,0.0,0.0,0.0,128.9998667,7.193,0
2011-05-06,1986380.4,47.75,3.744,0.0,0.0,0.0,0.0,0.0,129.0444333,7.193,0
2011-05-13,1958823.56,52.4,3.77,0.0,0.0,0.0,0.0,0.0,129.089,7.193,0
2011-05-20,1860923.55,52.12,3.802,0.0,0.0,0.0,0.0,0.0,129.0756774,7.193,0
2011-05-27,1866369.93,54.62,3.778,0.0,0.0,0.0,0.0,0.0,129.0623548,7.193,0
2011-06-03,1935593.8699999999,52.76,3.752,0.0,0.0,0.0,0.0,0.0,129.0490323,7.193,0
2011-06-10,1997816.98,61.39,3.732,0.0,0.0,0.0,0.0,0.0,129.0357097,7.193,0
2011-06-17,2086433.49,63.35,3.704,0.0,0.0,0.0,0.0,0.0,129.0432,7.193,0
2011-06-24,2009163.08,66.38,3.668,0.0,0.0,0.0,0.0,0.0,129.0663,7.193,0
2011-07-01,2048035.74,74.29,3.613,0.0,0.0,0.0,0.0,0.0,129.0894,6.877,0
2011-07-08,2021699.38,77.3,3.563,0.0,0.0,0.0,0.0,0.0,129.1125,6.877,0
2011-07-15,1956813.31,75.59,3.553,0.0,0.0,0.0,0.0,0.0,129.1338387,6.877,0
2011-07-22,1987089.36,78.5,3.563,0.0,0.0,0.0,0.0,0.0,129.1507742,6.877,0
2011-07-29,1880785.69,77.62,3.574,0.0,0.0,0.0,0.0,0.0,129.1677097,6.877,0
2011-08-05,2076231.8,75.56,3.595,0.0,0.0,0.0,0.0,0.0,129.1846452,6.877,0
2011-08-12,1970341.38,75.95,3.606,0.0,0.0,0.0,0.0,0.0,129.2015806,6.877,0
2011-08-19,2090340.98,76.68,3.578,0.0,0.0,0.0,0.0,0.0,129.2405806,6.877,0
2011-08-26,2035244.54,81.53,3.57,0.0,0.0,0.0,0.0,0.0,129.2832581,6.877,0
2011-09-02,1953628.82,77.0,3.58,0.0,0.0,0.0,0.0,0.0,129.3259355,6.877,0
2011-09-09,1872921.31,70.19,3.619,0.0,0.0,0.0,0.0,0.0,129.3686129,6.877,1
2011-09-16,1923223.82,67.54,3.641,0.0,0.0,0.0,0.0,0.0,129.4306,6.877,0
2011-09-23,1847445.2,63.6,3.648,0.0,0.0,0.0,0.0,0.0,129.5183333,6.877,0
2011-09-30,1835662.69,68.28,3.623,0.0,0.0,0.0,0.0,0.0,129.6060667,6.877,0
2011-10-07,2067232.56,60.62,3.592,0.0,0.0,0.0,0.0,0.0,129.6938,6.392,0
2011-10-14,1929659.07,51.74,3.567,0.0,0.0,0.0,0.0,0.0,129.7706452,6.392,0
2011-10-21,1973544.27,54.66,3.579,0.0,0.0,0.0,0.0,0.0,129.7821613,6.392,0
2011-10-28,1948733.81,47.41,3.567,0.0,0.0,0.0,0.0,0.0,129.7936774,6.392,0
2011-11-04,2036317.54,43.51,3.538,0.0,0.0,0.0,0.0,0.0,129.8051935,6.392,0
2011-11-11,2111592.09,33.8,3.513,31400.97,30876.79,645.07,4407.38,7740.27,129.8167097,6.392,0
2011-11-18,2016323.51,40.65,3.489,11003.75,1090.92,89.88,1201.3,10231.67,129.8268333,6.392,0
2011-11-25,2864170.61,38.89,3.445,1282.42,548.1,109030.75,146.33,3557.67,129.8364,6.392,1
2011-12-02,2051315.66,33.94,3.389,7945.42,56.0,25126.9,5550.87,31844.2,129.8459667,6.392,0
2011-12-09,2462779.06,24.82,3.341,5924.71,56.0,577.59,1778.83,20371.02,129.8555333,6.392,0
2011-12-16,2760346.71,27.85,3.282,3272.56,556.15,959.55,424.43,5933.01,129.8980645,6.392,0
2011-12-23,3556766.0300000003,24.76,3.186,686.24,193.26,2971.53,239.78,3567.03,129.9845484,6.392,0
2011-12-30,1969056.91,31.53,3.119,5970.81,89121.94,406.4,1772.02,3645.0,130.0710323,6.392,1
2012-01-06,1865752.78,33.8,3.08,6809.96,37106.52,179.77,1922.55,7481.58,130.1575161,6.104,0
2012-01-13,1794962.64,25.61,3.056,3627.07,14887.88,119.93,798.48,4668.82,130.244,6.104,0
2012-01-20,1811606.21,32.71,3.047,3150.56,6765.52,87.63,1196.17,3136.96,130.2792258,6.104,0
2012-01-27,1733983.09,34.32,3.058,3743.0,3744.31,108.46,253.99,3511.82,130.3144516,6.104,0
2012-02-03,1927780.74,31.39,3.077,53423.29,5822.12,282.08,57817.56,9654.23,130.3496774,6.104,0
2012-02-10,2069284.57,33.73,3.116,9264.48,8292.73,179.72,18849.21,9083.54,130.3849032,6.104,1
2012-02-17,2214477.06,36.57,3.119,21621.16,16497.47,25.52,13643.83,14660.97,130.4546207,6.104,0
2012-02-24,1929768.03,35.38,3.145,16404.54,12013.87,3.4,2584.12,5126.53,130.5502069,6.104,0
2012-03-02,1969742.76,32.36,3.242,25204.67,2436.75,167.88,16066.76,7289.69,130.6457931,6.104,0
2012-03-09,1986445.65,38.24,3.38,9173.97,339.05,9.44,1300.75,7479.12,130.7413793,6.104,0
2012-03-16,2025582.6199999999,52.5,3.529,8901.34,637.7,3.85,6169.81,2446.53,130.8261935,6.104,0
2012-03-23,1904421.74,47.83,3.671,3489.61,75.36,2.52,827.19,3427.9,130.8966452,6.104,0
2012-03-30,1948982.7,53.2,3.734,10556.61,43.54,15.84,1116.83,8179.03,130.9670968,6.104,0
2012-04-06,2271614.76,48.85,3.793,9249.62,0.0,59.94,3969.24,6016.86,131.0375484,5.965,0
2012-04-13,256052.53,51.7,3.833,7419.44,19610.52,54.65,3021.51,3374.9,131.108,5.965,0
