Date,Weekly_Sales
2010-02-05,1967220.53
2010-02-12,2030933.46
2010-02-19,1970274.64
2010-02-26,1817850.32
2010-03-05,1939980.43
2010-03-12,1840686.94
2010-03-19,1879794.89
2010-03-26,1882095.98
2010-04-02,2142482.14
2010-04-09,1898321.33
2010-04-16,1819660.44
2010-04-23,1909330.77
2010-04-30,1785823.3699999999
2010-05-07,2005478.46
2010-05-14,1890273.44
2010-05-21,1853657.6
2010-05-28,1877358.86
2010-06-04,2022705.22
2010-06-11,2037880.96
2010-06-18,2003435.31
2010-06-25,1970340.25
2010-07-02,2018314.71
2010-07-09,1870843.9
2010-07-16,1932231.05
2010-07-23,1907351.2
2010-07-30,1817887.23
2010-08-06,1969121.45
2010-08-13,1877592.55
2010-08-20,1997397.6300000001
2010-08-27,1908278.27
2010-09-03,1911852.58
2010-09-10,1772143.94
2010-09-17,1790279.74
2010-09-24,1705655.09
2010-10-01,1765584.48
2010-10-08,1871924.07
2010-10-15,1851431.06
2010-10-22,1796949.59
2010-10-29,1887895.07
2010-11-05,1854967.66
2010-11-12,1939964.6300000001
2010-11-19,1925393.91
2010-11-26,2766400.05
2010-12-03,2083379.8900000001
2010-12-10,2461468.35
2010-12-17,2771646.81
2010-12-24,3595903.2
2010-12-31,1675292.0
2011-01-07,1744544.39
2011-01-14,1682316.31
2011-01-21,1770177.37
2011-01-28,1633663.12
2011-02-04,1848186.58
2011-02-11,1944438.9
2011-02-18,2003480.59
2011-02-25,1831933.95
2011-03-04,1894960.68
2011-03-11,1852432.58
2011-03-18,1852443.78
2011-03-25,1807545.43
2011-04-01,1864238.64
2011-04-08,1887465.04
2011-04-15,1950994.04
2011-04-22,2124316.34
2011-04-29,1895583.12
2011-05-06,1986380.4
2011-05-13,1958823.56
2011-05-20,1860923.55
2011-05-27,1866369.93
2011-06-03,1935593.8699999999
2011-06-10,1997816.98
2011-06-17,2086433.49
2011-06-24,2009163.08
2011-07-01,2048035.74
2011-07-08,2021699.38
2011-07-15,1956813.31
2011-07-22,1987089.36
2011-07-29,1880785.69
2011-08-05,2076231.8
2011-08-12,1970341.38
2011-08-19,2090340.98
2011-08-26,2035244.54
2011-09-02,1953628.82
2011-09-09,1872921.31
2011-09-16,1923223.82
2011-09-23,1847430.96
2011-09-30,1835662.69
2011-10-07,2067232.56
2011-10-14,1929659.07
2011-10-21,1973544.27
2011-10-28,1948733.81
2011-11-04,2036317.54
2011-11-11,2111592.09
2011-11-18,2016323.51
2011-11-25,2864170.61
2011-12-02,2051315.66
2011-12-09,2462779.06
2011-12-16,2760346.71
2011-12-23,3556766.0300000003
2011-12-30,1969056.91
2012-01-06,1865752.78
2012-01-13,1794962.64
2012-01-20,1811606.21
2012-01-27,1733983.09
2012-02-03,1927780.74
2012-02-10,2069284.57
2012-02-17,2214477.06
2012-02-24,1929768.03
2012-03-02,1969742.76
2012-03-09,1986445.65
2012-03-16,2025582.6199999999
2012-03-23,1904421.74
2012-03-30,1948982.7
2012-04-06,2271614.76
